1.06969e+5,3.45462e-8
1.26493e+5,3.03327e-8
1.58892e+5,2.54155e-8
2.00344e+5,2.13653e-8
2.56454e+5,1.90222e-8
3.27660e+5,1.69727e-8
4.17063e+5,1.51676e-8
5.33875e+5,1.38921e-8
6.84715e+5,1.37806e-8
8.78173e+5,1.36993e-8
1.12629e+6,1.37133e-8
1.44452e+6,1.38130e-8
1.85617e+6,1.40465e-8
2.37613e+6,1.40949e-8
3.05325e+6,1.42569e-8
3.91596e+6,1.47207e-8
5.01298e+6,1.51211e-8
6.44156e+6,1.55763e-8
8.24609e+6,1.60084e-8
1.05562e+7,1.66018e-8
1.35136e+7,1.79105e-8
1.72996e+7,1.92936e-8
2.21881e+7,2.06174e-8
2.83506e+7,2.17680e-8
3.61574e+7,2.45752e-8
